,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
181,PWSC,"PowerSchool Holdings, Inc.",16.83,-0.49,-2.83%,1.465M,773219.00,2.781B,N/A,
182,RNG,"RingCentral, Inc.",30.08,0.46,1.55%,928159.00,1.148M,2.777B,N/A,
183,AI,"C3.ai, Inc.",22.69,0.16,0.71%,3.323M,7.384M,2.769B,N/A,
184,SRAD,Sportradar Group AG,9.26,-0.06,-0.64%,475404.00,315913.00,2.759B,77.17,
185,ZETA,Zeta Global Holdings Corp.,12.60,0.24,1.94%,1.619M,1.559M,2.757B,N/A,
186,APPN,Appian Corporation,36.73,-0.71,-1.90%,556197.00,535713.00,2.653B,N/A,
187,ESE,ESCO Technologies Inc.,102.17,0.72,0.71%,170380.00,144431.00,2.637B,28.38,
188,YOU,"Clear Secure, Inc.",17.54,0.07,0.40%,927756.00,1.597M,2.558B,56.58,
189,PAY,"Paymentus Holdings, Inc.",20.47,0.06,0.29%,272104.00,353255.00,2.537B,113.72,
190,FLYW,Flywire Corporation,20.40,-0.1,-0.49%,1.452M,1.439M,2.532B,N/A,
191,JAMF,Jamf Holding Corp.,19.60,0.13,0.67%,417334.00,429080.00,2.515B,N/A,
192,KLIC,"Kulicke and Soffa Industries, Inc.",44.36,-1.92,-4.15%,804101.00,464660.00,2.499B,49.29,
193,IDCC,"InterDigital, Inc.",97.90,-0.83,-0.84%,474204.00,556316.00,2.483B,12.85,
194,AVDX,"AvidXchange Holdings, Inc.",11.89,0.23,1.97%,1.26M,1.701M,2.454B,N/A,
195,SMTC,Semtech Corporation,37.64,0.02,0.05%,2.249M,2.343M,2.431B,N/A,
196,EVTC,"EVERTEC, Inc.",37.62,0.09,0.24%,292213.00,343377.00,2.423B,31.09,
197,ALKT,"Alkami Technology, Inc.",24.40,0.33,1.37%,500288.00,310075.00,2.379B,N/A,
198,INTA,"Intapp, Inc.",31.15,0.23,0.74%,304209.00,653891.00,2.286B,N/A,
199,NABL,"N-able, Inc.",12.31,0.05,0.41%,454513.00,537891.00,2.274B,94.69,
200,AGYS,"Agilysys, Inc.",82.70,-0.35,-0.42%,134088.00,181883.00,2.263B,25.52,
201,OSIS,"OSI Systems, Inc.",131.07,-0.37,-0.28%,68846.00,90449.00,2.235B,18,
202,RUN,Sunrun Inc.,10.07,-0.22,-2.14%,10.185M,13.908M,2.232B,N/A,
203,ROG,Rogers Corporation,118.62,-0.47,-0.39%,170621.00,180903.00,2.213B,32.59,
204,CLBT,Cellebrite DI Ltd.,10.75,-0.06,-0.56%,749290.00,968465.00,2.207B,N/A,
205,PRGS,Progress Software Corporation,50.11,0.29,0.58%,372218.00,639024.00,2.166B,32.33,
206,RAMP,"LiveRamp Holdings, Inc.",32.29,0.18,0.56%,365168.00,617275.00,2.137B,N/A,
207,VZIO,VIZIO Holding Corp.,10.66,0.06,0.57%,3.743M,3.463M,2.114B,76.14,
208,SONO,"Sonos, Inc.",16.87,-0.03,-0.18%,1.408M,2.048M,2.089B,N/A,
209,PLUS,ePlus inc.,75.92,-0.96,-1.25%,121377.00,222998.00,2.046B,15.95,
210,VSAT,"Viasat, Inc.",16.08,0.17,1.07%,1.05M,1.201M,2.015B,N/A,
211,WNS,WNS (Holdings) Limited,42.94,1.03,2.46%,277560.00,438347.00,2.01B,15.17,
212,SITM,SiTime Corporation,87.28,-1.84,-2.06%,292350.00,227139.00,1.996B,N/A,
213,VECO,Veeco Instruments Inc.,34.59,-0.75,-2.12%,438528.00,475942.00,1.948B,N/A,
214,VRNT,Verint Systems Inc.,30.52,0.24,0.79%,444202.00,542898.00,1.904B,109,
215,ARRY,"Array Technologies, Inc.",12.46,0.12,0.97%,5.562M,5.705M,1.891B,22.25,
216,RUM,Rumble Inc.,6.70,-0.36,-5.10%,1.563M,3.483M,1.878B,N/A,
217,PD,"PagerDuty, Inc.",20.19,0.23,1.15%,924682.00,1.144M,1.873B,N/A,
218,ODD,Oddity Tech Ltd.,32.90,0.36,1.11%,640533.00,948026.00,1.871B,32.9,
219,AMBA,"Ambarella, Inc.",45.56,-0.41,-0.89%,448907.00,590396.00,1.866B,N/A,
220,SWI,SolarWinds Corporation,11.07,0.05,0.45%,412590.00,464714.00,1.862B,N/A,
221,IONQ,"IonQ, Inc.",8.75,0.2,2.34%,3.672M,6.829M,1.848B,N/A,
222,CALX,"Calix, Inc.",27.88,0.15,0.54%,613761.00,993368.00,1.827B,99.57,
223,UCTT,"Ultra Clean Holdings, Inc.",40.28,-1.55,-3.71%,253417.00,317016.00,1.799B,N/A,
224,SEMR,"Semrush Holdings, Inc.",12.40,0.16,1.31%,289765.00,577921.00,1.799B,"1,240.00",
225,GRND,Grindr Inc.,10.17,0.38,3.88%,336243.00,415342.00,1.786B,N/A,
226,FSLY,"Fastly, Inc.",12.93,0.28,2.21%,4.773M,4.338M,1.767B,N/A,
227,BMBL,Bumble Inc.,10.12,0.02,0.20%,1.974M,3.061M,1.765B,N/A,
228,VIAV,Viavi Solutions Inc.,7.92,0.02,0.25%,1.229M,2.011M,1.763B,396,
229,VYX,NCR Voyix Corporation,12.13,-0.12,-0.98%,2.482M,2.739M,1.754B,N/A,
230,UPBD,"Upbound Group, Inc.",31.62,0.61,1.97%,787427.00,391816.00,1.726B,N/A,
231,EVCM,EverCommerce Inc.,9.23,0.23,2.56%,199017.00,145667.00,1.719B,N/A,
232,SPNS,Sapiens International Corporation N.V.,30.66,-0.14,-0.45%,157139.00,135531.00,1.709B,27.38,
233,PLAB,"Photronics, Inc.",26.91,-0.5,-1.82%,476489.00,542952.00,1.705B,12.12,
